subproduct,parameter,month,samples
ChemSpecPM25,Arsenic PM2.5,2023-06-01,10
ChemSpecPM25,Arsenic PM2.5,2023-07-01,10
ChemSpecPM25,Arsenic PM2.5,2023-11-01,10
ChemSpecPM25,Arsenic PM2.5,2023-12-01,10
ChemSpecPM25,Arsenic PM2.5,2024-04-01,10
ChemSpecPM25,Arsenic PM2.5,2024-07-01,10
ChemSpecPM25,Arsenic PM2.5,2022-12-01,9
ChemSpecPM25,Arsenic PM2.5,2023-01-01,9
ChemSpecPM25,Arsenic PM2.5,2023-02-01,9
ChemSpecPM25,Arsenic PM2.5,2023-08-01,9
ChemSpecPM25,Arsenic PM2.5,2023-09-01,9
ChemSpecPM25,Arsenic PM2.5,2024-02-01,9
ChemSpecPM25,Arsenic PM2.5,2024-06-01,9
ChemSpecPM25,Arsenic PM2.5,2023-03-01,8
ChemSpecPM25,Arsenic PM2.5,2023-05-01,8
ChemSpecPM25,Arsenic PM2.5,2025-12-01,8
ChemSpecPM25,Arsenic PM2.5,2023-10-01,6
ChemSpecPM25,Arsenic PM2.5,2024-08-01,5
ChemSpecPM25,Arsenic PM2.5,2024-05-01,4
ChemSpecPM25,Arsenic PM2.5,2025-11-01,4
ChemSpecPM25,Arsenic PM2.5,2024-10-01,3
ChemSpecPM25,Arsenic PM2.5,2024-11-01,3
ChemSpecPM25,Arsenic PM2.5,2024-12-01,3
ChemSpecPM25,Arsenic PM2.5,2025-01-01,3
ChemSpecPM25,Arsenic PM2.5,2025-02-01,3
ChemSpecPM25,Arsenic PM2.5,2025-03-01,3
ChemSpecPM25,Arsenic PM2.5,2025-04-01,3
ChemSpecPM25,Arsenic PM2.5,2025-05-01,3
ChemSpecPM25,Arsenic PM2.5,2025-07-01,3
ChemSpecPM25,Arsenic PM2.5,2024-09-01,2
ChemSpecPM25,Arsenic PM2.5,2025-06-01,2
ChemSpecPM25,Arsenic PM2.5,2026-01-01,2
ChemSpecPM25,Arsenic PM2.5,2025-08-01,1
ChemSpecPM25,BC PM2.5,2024-01-01,11
ChemSpecPM25,BC PM2.5,2024-03-01,11
ChemSpecPM25,BC PM2.5,2023-04-01,10
ChemSpecPM25,BC PM2.5,2023-06-01,10
ChemSpecPM25,BC PM2.5,2023-07-01,10
ChemSpecPM25,BC PM2.5,2023-11-01,10
ChemSpecPM25,BC PM2.5,2023-12-01,10
ChemSpecPM25,BC PM2.5,2024-04-01,10
ChemSpecPM25,BC PM2.5,2024-07-01,10
ChemSpecPM25,BC PM2.5,2022-12-01,9
ChemSpecPM25,BC PM2.5,2023-01-01,9
ChemSpecPM25,BC PM2.5,2023-02-01,9
ChemSpecPM25,BC PM2.5,2023-08-01,9
ChemSpecPM25,BC PM2.5,2023-09-01,9
ChemSpecPM25,BC PM2.5,2024-02-01,9
ChemSpecPM25,BC PM2.5,2024-06-01,9
ChemSpecPM25,BC PM2.5,2023-03-01,8
ChemSpecPM25,BC PM2.5,2023-05-01,8
ChemSpecPM25,BC PM2.5,2025-12-01,8
ChemSpecPM25,BC PM2.5,2023-10-01,6
ChemSpecPM25,BC PM2.5,2024-08-01,5
ChemSpecPM25,BC PM2.5,2024-05-01,4
ChemSpecPM25,BC PM2.5,2025-11-01,4
ChemSpecPM25,BC PM2.5,2024-10-01,3
ChemSpecPM25,BC PM2.5,2024-11-01,3
ChemSpecPM25,BC PM2.5,2024-12-01,3
ChemSpecPM25,BC PM2.5,2025-01-01,3
ChemSpecPM25,BC PM2.5,2025-02-01,3
ChemSpecPM25,BC PM2.5,2025-03-01,3
ChemSpecPM25,BC PM2.5,2025-04-01,3
ChemSpecPM25,BC PM2.5,2025-05-01,3
ChemSpecPM25,BC PM2.5,2025-07-01,3
ChemSpecPM25,BC PM2.5,2024-09-01,2
ChemSpecPM25,BC PM2.5,2025-06-01,2
ChemSpecPM25,BC PM2.5,2026-01-01,2
ChemSpecPM25,BC PM2.5,2025-08-01,1
ChemSpecPM25,Bromide Ion PM2.5,2024-08-01,2
ChemSpecPM25,Cadmium PM2.5,2024-01-01,11
ChemSpecPM25,Cadmium PM2.5,2024-03-01,11
ChemSpecPM25,Cadmium PM2.5,2023-04-01,10
ChemSpecPM25,Cadmium PM2.5,2023-06-01,10
ChemSpecPM25,Cadmium PM2.5,2023-07-01,10
ChemSpecPM25,Cadmium PM2.5,2023-11-01,10
ChemSpecPM25,Cadmium PM2.5,2023-12-01,10
ChemSpecPM25,Cadmium PM2.5,2024-04-01,10
ChemSpecPM25,Cadmium PM2.5,2024-07-01,10
ChemSpecPM25,Cadmium PM2.5,2022-12-01,9
ChemSpecPM25,Cadmium PM2.5,2023-01-01,9
ChemSpecPM25,Cadmium PM2.5,2023-02-01,9
ChemSpecPM25,Cadmium PM2.5,2023-08-01,9
ChemSpecPM25,Cadmium PM2.5,2023-09-01,9
ChemSpecPM25,Cadmium PM2.5,2024-02-01,9
ChemSpecPM25,Cadmium PM2.5,2024-06-01,9
ChemSpecPM25,Cadmium PM2.5,2023-03-01,8
ChemSpecPM25,Cadmium PM2.5,2023-05-01,8
ChemSpecPM25,Cadmium PM2.5,2025-12-01,8
ChemSpecPM25,Cadmium PM2.5,2023-10-01,6
ChemSpecPM25,Cadmium PM2.5,2024-08-01,5
ChemSpecPM25,Cadmium PM2.5,2024-05-01,4
ChemSpecPM25,Cadmium PM2.5,2025-11-01,4
ChemSpecPM25,Cadmium PM2.5,2024-10-01,3
ChemSpecPM25,Cadmium PM2.5,2024-11-01,3
ChemSpecPM25,Cadmium PM2.5,2024-12-01,3
ChemSpecPM25,Cadmium PM2.5,2025-01-01,3
ChemSpecPM25,Cadmium PM2.5,2025-02-01,3
ChemSpecPM25,Cadmium PM2.5,2025-03-01,3
ChemSpecPM25,Cadmium PM2.5,2025-04-01,3
ChemSpecPM25,Cadmium PM2.5,2025-05-01,3
ChemSpecPM25,Cadmium PM2.5,2025-07-01,3
ChemSpecPM25,Cadmium PM2.5,2024-09-01,2
ChemSpecPM25,Cadmium PM2.5,2025-06-01,2
ChemSpecPM25,Cadmium PM2.5,2026-01-01,2
ChemSpecPM25,Cadmium PM2.5,2025-08-01,1
ChemSpecPM25,Calcium Ion PM2.5,2024-07-01,15
ChemSpecPM25,Calcium Ion PM2.5,2024-01-01,11
ChemSpecPM25,Calcium Ion PM2.5,2024-03-01,11
ChemSpecPM25,Calcium Ion PM2.5,2023-04-01,10
ChemSpecPM25,Calcium Ion PM2.5,2023-06-01,10
ChemSpecPM25,Calcium Ion PM2.5,2023-07-01,10
ChemSpecPM25,Calcium Ion PM2.5,2023-11-01,10
ChemSpecPM25,Calcium Ion PM2.5,2023-12-01,10
ChemSpecPM25,Calcium Ion PM2.5,2024-04-01,10
ChemSpecPM25,Calcium Ion PM2.5,2024-08-01,10
ChemSpecPM25,Calcium Ion PM2.5,2022-12-01,9
ChemSpecPM25,Calcium Ion PM2.5,2023-01-01,9
ChemSpecPM25,Calcium Ion PM2.5,2023-02-01,9
ChemSpecPM25,Calcium Ion PM2.5,2023-08-01,9
ChemSpecPM25,Calcium Ion PM2.5,2023-09-01,9
ChemSpecPM25,Calcium Ion PM2.5,2024-02-01,9
ChemSpecPM25,Calcium Ion PM2.5,2024-06-01,9
ChemSpecPM25,Calcium Ion PM2.5,2023-03-01,8
ChemSpecPM25,Calcium Ion PM2.5,2023-05-01,8
ChemSpecPM25,Calcium Ion PM2.5,2023-10-01,6
ChemSpecPM25,Calcium Ion PM2.5,2024-12-01,6
ChemSpecPM25,Calcium Ion PM2.5,2025-02-01,6
ChemSpecPM25,Calcium Ion PM2.5,2025-03-01,6
ChemSpecPM25,Calcium Ion PM2.5,2025-04-01,6
ChemSpecPM25,Calcium Ion PM2.5,2025-05-01,6
ChemSpecPM25,Calcium Ion PM2.5,2024-10-01,5
ChemSpecPM25,Calcium Ion PM2.5,2024-05-01,4
ChemSpecPM25,Calcium Ion PM2.5,2024-09-01,4
ChemSpecPM25,Calcium Ion PM2.5,2024-11-01,4
ChemSpecPM25,Calcium Ion PM2.5,2025-01-01,3
ChemSpecPM25,Calcium Ion PM2.5,2025-07-01,3
ChemSpecPM25,Calcium Ion PM2.5,2025-06-01,2
ChemSpecPM25,Calcium Ion PM2.5,2025-08-01,1
ChemSpecPM25,Calcium PM2.5,2024-01-01,11
ChemSpecPM25,Calcium PM2.5,2024-03-01,11
ChemSpecPM25,Calcium PM2.5,2023-04-01,10
ChemSpecPM25,Calcium PM2.5,2023-06-01,10
ChemSpecPM25,Calcium PM2.5,2023-07-01,10
ChemSpecPM25,Calcium PM2.5,2023-11-01,10
ChemSpecPM25,Calcium PM2.5,2023-12-01,10
ChemSpecPM25,Calcium PM2.5,2024-04-01,10
ChemSpecPM25,Calcium PM2.5,2024-07-01,10
ChemSpecPM25,Calcium PM2.5,2022-12-01,9
ChemSpecPM25,Calcium PM2.5,2023-01-01,9
ChemSpecPM25,Calcium PM2.5,2023-02-01,9
ChemSpecPM25,Calcium PM2.5,2023-08-01,9
ChemSpecPM25,Calcium PM2.5,2023-09-01,9
ChemSpecPM25,Calcium PM2.5,2024-02-01,9
ChemSpecPM25,Calcium PM2.5,2024-06-01,9
ChemSpecPM25,Calcium PM2.5,2023-03-01,8
