site_code,base_filter_id,source_parameter_codes,source_analysis_descriptions,source_method_codes,source_conditions,competing_values,source_row_links,source_definition_recovered,authoritative_value_selected,selected_ec_ugm3,value_adjudication
CHTS,CHTS-0575,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[2.42],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5044,""source_row"":5019}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0594,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[3.71],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5082,""source_row"":5059}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0595,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.73],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5120,""source_row"":5097}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0596,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.63],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5158,""source_row"":5135}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0597,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[0.98],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5196,""source_row"":5173}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0598,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[4.38],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5234,""source_row"":5211}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0599,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.5],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5272,""source_row"":5249}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0610,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[3.15],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5310,""source_row"":5287}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0611,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.52],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5348,""source_row"":5325}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0612,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.06],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5387,""source_row"":5363}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0613,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.8],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5425,""source_row"":5402}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0614,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.82],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5463,""source_row"":5440}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0615,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[5.86],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5501,""source_row"":5478}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0650,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.35],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5650,""source_row"":5627}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0651,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.82],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5688,""source_row"":5665}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0652,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.49],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5727,""source_row"":5703}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0653,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.6],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5766,""source_row"":5742}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0654,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.15],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5805,""source_row"":5781}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0655,[28203],"[""FTIR""]",[217],"[""Ambient local""]",[1.25],"[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5844,""source_row"":5820}]",True,False,,single_export_value_definition_recovered_not_independent_reference
CHTS,CHTS-0658,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 0.93]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5883,""source_row"":5859},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5884,""source_row"":5860}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0659,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 1.26]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5924,""source_row"":5917},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5925,""source_row"":5918}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0660,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 1.59]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5965,""source_row"":5975},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":5966,""source_row"":5976}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0661,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 1.51]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6006,""source_row"":6033},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6007,""source_row"":6034}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0662,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 1.18]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6048,""source_row"":6092},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6049,""source_row"":6093}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0663,[28203],"[""FTIR""]",[217],"[""Ambient local""]","[0.06, 0.94]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6090,""source_row"":6151},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6091,""source_row"":6152}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0666,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 0.91]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6130,""source_row"":6223},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6131,""source_row"":6224}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0667,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 1.57]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6171,""source_row"":6272},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6172,""source_row"":6273}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0668,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 0.78]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6212,""source_row"":6321},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6213,""source_row"":6322}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0669,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 1.85]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6253,""source_row"":6370},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6254,""source_row"":6371}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0670,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 1.45]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6294,""source_row"":6419},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6295,""source_row"":6420}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0671,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.07, 1.1]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6335,""source_row"":6468},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6336,""source_row"":6469}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0674,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 0.21]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6411,""source_row"":6560},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6412,""source_row"":6561}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0675,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 2.91]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6452,""source_row"":6607},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6453,""source_row"":6608}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0676,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 4.6]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6492,""source_row"":6655},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6493,""source_row"":6656}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0677,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 2.25]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6532,""source_row"":6702},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6533,""source_row"":6703}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0678,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 0.34]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6572,""source_row"":6749},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6573,""source_row"":6750}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0679,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 1.9]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6612,""source_row"":6796},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6613,""source_row"":6797}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0682,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 3.59]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6688,""source_row"":6886},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6689,""source_row"":6887}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0683,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 0.25]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6728,""source_row"":6934},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6729,""source_row"":6935}]",True,False,,unresolved_upstream_competing_values
CHTS,CHTS-0684,[28203],"[""FTIR""]",[218],"[""Ambient local""]","[0.06, 1.12]","[{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6768,""source_row"":6982},{""export_file"":""\/Users\/ahmadjalil\/github\/aethmodular\/research\/filter_combine\/FilterBased_ChemSpecPM25_CHTS.csv"",""export_sha256"":""ec9a6c24308cb050a58472350a75689bc865751b1ac784a2f02e7bd56cedae61"",""export_source_row"":6769,""source_row"":6983}]",True,False,,unresolved_upstream_competing_values
