MediaId,SiteCode,SamplingStartDate,month,season,MassCollectedOnFilter_ug,SampleVolume_m3
1462,ETAD,2023-05-20,5.0,other/unassigned,164.0,7.272
1463,ETAD,2023-05-23,5.0,other/unassigned,140.0,7.272
1464,ETAD,2023-05-26,5.0,other/unassigned,123.7,7.272
1465,ETAD,2023-05-29,5.0,other/unassigned,140.0,7.272
1466,ETAD,2023-06-01,6.0,diesel,109.8,7.272
1467,ETAD,,,other/unassigned,10.6,0.0
1468,ETAD,2023-06-04,6.0,diesel,121.6,7.1064
1469,ETAD,2023-06-07,6.0,diesel,288.1,7.2
1470,ETAD,2023-06-10,6.0,diesel,246.8,7.2
1471,ETAD,2023-06-13,6.0,diesel,252.6,7.2
1472,ETAD,2023-06-16,6.0,diesel,236.2,7.2
1473,ETAD,2023-06-19,6.0,diesel,280.1,7.2
1474,ETAD,2023-06-22,6.0,diesel,283.3,7.2
1475,ETAD,,,other/unassigned,17.6,0.0
1476,ETAD,2023-06-25,6.0,diesel,279.8,7.2
1469,ETAD,2023-06-07,6.0,diesel,288.1,7.2
1470,ETAD,2023-06-10,6.0,diesel,246.8,7.2
1471,ETAD,2023-06-13,6.0,diesel,252.6,7.2
1472,ETAD,2023-06-16,6.0,diesel,236.2,7.2
1473,ETAD,2023-06-19,6.0,diesel,280.1,7.2
1474,ETAD,2023-06-22,6.0,diesel,283.3,7.2
1475,ETAD,,,other/unassigned,17.6,0.0
1476,ETAD,2023-06-25,6.0,diesel,279.8,7.2
1670,ETAD,2023-06-28,6.0,diesel,179.1,7.272
1671,ETAD,2023-07-01,7.0,diesel,282.6,7.1928
1672,ETAD,2023-07-04,7.0,diesel,165.5,7.272
1673,ETAD,2023-07-07,7.0,diesel,203.6,7.272
1674,ETAD,2023-07-10,7.0,diesel,252.2,7.272
1675,ETAD,2023-07-13,7.0,diesel,247.3,7.272
1676,ETAD,,,other/unassigned,5.1,0.0
1677,ETAD,2023-07-16,7.0,diesel,211.4,7.1064
1678,ETAD,2023-07-21,7.0,diesel,164.7,7.056
1679,ETAD,2023-07-24,7.0,diesel,266.2,7.056
1680,ETAD,2023-07-27,7.0,diesel,208.0,7.056
1681,ETAD,2023-07-30,7.0,diesel,215.3,7.056
1682,ETAD,2023-08-02,8.0,diesel,199.1,7.056
1683,ETAD,2023-08-05,8.0,diesel,166.2,7.056
1684,ETAD,,,other/unassigned,3.6,0.0
1685,ETAD,2023-08-08,8.0,diesel,243.2,6.912
1944,ETAD,2023-09-06,9.0,other/unassigned,204.3,7.272
1944,ETAD,2023-09-06,9.0,other/unassigned,204.3,7.272
1945,ETAD,2023-09-09,9.0,other/unassigned,330.2,7.1928
1946,ETAD,2023-09-12,9.0,other/unassigned,140.2,7.3584
1947,ETAD,2023-09-15,9.0,other/unassigned,195.0,7.3584
1948,ETAD,2023-09-18,9.0,other/unassigned,166.7,7.3584
1949,ETAD,2023-09-21,9.0,other/unassigned,235.7,7.272
1950,ETAD,,,other/unassigned,3.4,0.0
1951,ETAD,2023-09-24,9.0,other/unassigned,156.9,7.272
1952,ETAD,2023-09-27,9.0,other/unassigned,315.8,7.1928
1953,ETAD,,,other/unassigned,199.1,
1954,ETAD,,,other/unassigned,119.0,
1955,ETAD,,,other/unassigned,117.2,
1956,ETAD,,,other/unassigned,192.7,
1957,ETAD,,,other/unassigned,99.0,
1958,ETAD,,,other/unassigned,4.6,0.0
1959,ETAD,2023-10-15,10.0,high-biomass,95.0,7.1064
1960,ETAD,2023-10-18,10.0,high-biomass,140.5,7.272
1961,ETAD,2023-10-21,10.0,high-biomass,121.0,7.272
1962,ETAD,2023-10-24,10.0,high-biomass,144.8,7.272
1963,ETAD,2023-10-27,10.0,high-biomass,57.4,7.272
1964,ETAD,2023-10-30,10.0,high-biomass,118.3,7.3584
1965,ETAD,2023-11-02,11.0,high-biomass,132.0,7.272
1966,ETAD,,,other/unassigned,2.8,0.0
1967,ETAD,2023-11-05,11.0,high-biomass,138.0,7.272
1936,ETAD,2023-08-16,8.0,diesel,192.6,7.1928
1937,ETAD,2023-08-19,8.0,diesel,249.2,7.1928
1938,ETAD,2023-08-22,8.0,diesel,232.2,7.1208
1939,ETAD,2023-08-25,8.0,diesel,170.4,7.1928
1940,ETAD,2023-08-28,8.0,diesel,167.0,7.1928
1941,ETAD,2023-08-31,8.0,diesel,206.7,7.1928
1942,ETAD,,,other/unassigned,9.4,0.0
1943,ETAD,2023-09-03,9.0,other/unassigned,205.6,7.1208
2353,ETAD,2023-11-08,11.0,high-biomass,109.2,7.272
2354,ETAD,2023-11-11,11.0,high-biomass,118.6,7.272
2355,ETAD,2023-11-14,11.0,high-biomass,162.4,7.272
2355,ETAD,2023-11-14,11.0,high-biomass,162.4,7.272
2356,ETAD,2023-11-17,11.0,high-biomass,142.4,7.272
2357,ETAD,2023-11-20,11.0,high-biomass,134.7,7.272
2358,ETAD,2023-11-23,11.0,high-biomass,112.0,7.272
2359,ETAD,,,other/unassigned,2.5,0.0
2360,ETAD,2023-11-26,11.0,high-biomass,133.6,7.272
2361,ETAD,2023-11-29,11.0,high-biomass,126.3,7.272
2362,ETAD,2023-12-02,12.0,high-biomass,119.5,7.1928
2363,ETAD,2023-12-05,12.0,high-biomass,129.2,7.272
2364,ETAD,2023-12-08,12.0,high-biomass,105.8,7.272
2365,ETAD,2023-12-11,12.0,high-biomass,80.6,7.1928
2366,ETAD,2023-12-14,12.0,high-biomass,117.3,7.1928
2367,ETAD,,,other/unassigned,3.0,0.0
2368,ETAD,2023-12-17,12.0,high-biomass,133.4,7.272
2737,ETAD,2023-12-20,12.0,high-biomass,138.5,7.272
2738,ETAD,2023-12-23,12.0,high-biomass,128.1,7.272
2739,ETAD,2023-12-26,12.0,high-biomass,124.9,7.272
2740,ETAD,2023-12-29,12.0,high-biomass,102.5,7.272
2741,ETAD,2024-01-01,1.0,high-biomass,141.0,7.272
2742,ETAD,2024-01-04,1.0,high-biomass,175.7,7.272
2743,ETAD,,,other/unassigned,6.4,0.0
2744,ETAD,2024-01-07,1.0,high-biomass,125.1,7.272
2745,ETAD,2024-01-10,1.0,high-biomass,229.9,7.272
2746,ETAD,2024-01-13,1.0,high-biomass,164.6,7.272
2747,ETAD,2024-01-16,1.0,high-biomass,121.1,6.9084
2748,ETAD,2024-01-19,1.0,high-biomass,105.5,7.3584
2749,ETAD,2024-01-22,1.0,high-biomass,150.5,7.3584
2750,ETAD,2024-01-25,1.0,high-biomass,189.0,7.3584
2751,ETAD,,,other/unassigned,6.7,0.0
2752,ETAD,2024-01-28,1.0,high-biomass,111.5,7.3584
2753,ETAD,2024-01-31,1.0,high-biomass,97.0,7.1928
2754,ETAD,2024-02-03,2.0,high-biomass,93.7,7.272
2755,ETAD,2024-02-06,2.0,high-biomass,91.1,7.1928
2756,ETAD,2024-02-09,2.0,high-biomass,125.8,7.272
2757,ETAD,2024-02-12,2.0,high-biomass,142.0,7.272
2758,ETAD,2024-02-15,2.0,high-biomass,142.6,7.272
2759,ETAD,,,other/unassigned,74.9,0.0
2760,ETAD,2024-02-18,2.0,high-biomass,166.5,7.272
2761,ETAD,2024-02-21,2.0,high-biomass,122.7,7.1928
2762,ETAD,2024-02-24,2.0,high-biomass,123.0,7.1928
2763,ETAD,2024-02-27,2.0,high-biomass,147.1,7.1928
2764,ETAD,2024-03-01,3.0,other/unassigned,127.6,7.272
2765,ETAD,2024-03-04,3.0,other/unassigned,154.7,7.272
2766,ETAD,2024-03-07,3.0,other/unassigned,158.8,7.1928
2767,ETAD,,,other/unassigned,5.6,0.0
2767,ETAD,,,other/unassigned,5.6,0.0
2768,ETAD,2024-03-10,3.0,other/unassigned,121.2,7.272
2777,ETAD,2024-03-13,3.0,other/unassigned,113.5,7.1928
2778,ETAD,2024-03-16,3.0,other/unassigned,144.2,7.1928
2779,ETAD,2024-03-19,3.0,other/unassigned,149.4,7.1928
2777,ETAD,2024-03-13,3.0,other/unassigned,113.5,7.1928
2780,ETAD,2024-03-22,3.0,other/unassigned,119.5,7.1928
2781,ETAD,2024-03-25,3.0,other/unassigned,150.2,7.1928
2782,ETAD,2024-03-28,3.0,other/unassigned,127.9,7.1928
2783,ETAD,,,other/unassigned,3.8,0.0
2784,ETAD,2024-03-31,3.0,other/unassigned,151.5,7.272
2785,ETAD,2024-04-03,4.0,other/unassigned,141.8,7.3584
2786,ETAD,2024-04-06,4.0,other/unassigned,140.5,7.3584
2787,ETAD,2024-04-09,4.0,other/unassigned,144.0,7.3584
2788,ETAD,2024-04-12,4.0,other/unassigned,164.8,7.3584
2789,ETAD,2024-04-15,4.0,other/unassigned,173.1,7.3584
2790,ETAD,2024-04-18,4.0,other/unassigned,201.1,7.3584
2791,ETAD,,,other/unassigned,5.1,0.0
2792,ETAD,2024-04-21,4.0,other/unassigned,98.6,7.272
3041,ETAD,2024-04-24,4.0,other/unassigned,172.0,7.272
3042,ETAD,2024-04-27,4.0,other/unassigned,260.4,7.272
3043,ETAD,2024-04-30,4.0,other/unassigned,184.7,7.272
3044,ETAD,2024-05-03,5.0,other/unassigned,253.4,7.272
3045,ETAD,2024-05-06,5.0,other/unassigned,146.3,7.272
3046,ETAD,2024-05-09,5.0,other/unassigned,140.2,7.272
3047,ETAD,,,other/unassigned,10.1,0.0
3048,ETAD,2024-05-12,5.0,other/unassigned,138.3,7.272
3161,ETAD,2024-06-06,6.0,diesel,318.0,7.1928
3162,ETAD,2024-06-09,6.0,diesel,222.0,7.272
3163,ETAD,2024-06-12,6.0,diesel,308.8,7.1928
3161,ETAD,2024-06-06,6.0,diesel,318.0,7.1928
3164,ETAD,2024-06-15,6.0,diesel,201.8,7.272
3165,ETAD,2024-06-18,6.0,diesel,377.9,7.0272
3166,ETAD,2024-06-21,6.0,diesel,269.1,7.1928
3167,ETAD,,,other/unassigned,16.8,0.0
3168,ETAD,2024-06-24,6.0,diesel,243.8,7.1928
3169,ETAD,2024-06-26,6.0,diesel,206.2,7.272
3170,ETAD,2024-06-29,6.0,diesel,312.9,7.1928
3171,ETAD,2024-07-02,7.0,diesel,268.6,7.1064
3172,ETAD,2024-07-05,7.0,diesel,194.2,7.3584
3173,ETAD,2024-07-08,7.0,diesel,272.6,7.1928
3174,ETAD,2024-07-11,7.0,diesel,296.7,7.1064
3175,ETAD,,,other/unassigned,2.9,0.0
3176,ETAD,2024-07-14,7.0,diesel,268.3,7.1928
3177,ETAD,2024-07-17,7.0,diesel,237.1,7.1928
3178,ETAD,2024-07-20,7.0,diesel,208.3,7.1928
3179,ETAD,2024-07-23,7.0,diesel,180.8,7.272
3180,ETAD,2024-07-26,7.0,diesel,113.6,7.272
3181,ETAD,2024-07-29,7.0,diesel,141.8,7.3584
3182,ETAD,2024-08-01,8.0,diesel,193.7,7.1928
3183,ETAD,,,other/unassigned,9.7,0.0
3184,ETAD,2024-08-04,8.0,diesel,155.9,7.272
3185,ETAD,2024-08-07,8.0,diesel,170.1,7.1064
3186,ETAD,2024-08-16,8.0,diesel,94.3,7.1928
3187,ETAD,2024-08-25,8.0,diesel,165.7,7.1928
3188,ETAD,2024-09-03,9.0,other/unassigned,235.3,7.1928
3189,ETAD,2024-09-12,9.0,other/unassigned,194.3,7.2792
3190,ETAD,2024-09-21,9.0,other/unassigned,306.8,6.8616
3191,ETAD,,,other/unassigned,6.0,0.0
3192,ETAD,2024-08-07,8.0,diesel,99.7,2.0736
445,ETAD,2023-01-21,1.0,high-biomass,201.8,6.9408
446,ETAD,2023-01-24,1.0,high-biomass,116.9,6.9408
447,ETAD,2023-01-27,1.0,high-biomass,105.4,6.9408
448,ETAD,2023-01-30,1.0,high-biomass,108.5,7.0272
449,ETAD,2023-02-02,2.0,high-biomass,133.8,7.0272
450,ETAD,2023-02-05,2.0,high-biomass,107.3,7.0272
451,ETAD,,,other/unassigned,6.0,0.0
452,ETAD,2023-02-08,2.0,high-biomass,111.8,6.7824
453,ETAD,2022-12-28,12.0,high-biomass,69.5,7.0272
454,ETAD,2022-12-31,12.0,high-biomass,112.8,7.0272
455,ETAD,2023-01-03,1.0,high-biomass,142.5,7.0272
456,ETAD,2023-01-06,1.0,high-biomass,107.7,7.0272
458,ETAD,2023-01-12,1.0,high-biomass,79.5,7.0272
459,ETAD,,,other/unassigned,3.3,0.0
460,ETAD,2023-01-15,1.0,high-biomass,106.2,6.8616
3956,ETAD,2024-10-09,10.0,high-biomass,179.1,7.1928
3957,ETAD,2024-10-18,10.0,high-biomass,129.7,7.1928
3958,ETAD,2024-10-27,10.0,high-biomass,90.3,7.1928
3959,ETAD,2024-11-05,11.0,high-biomass,109.3,7.1928
3960,ETAD,2024-11-14,11.0,high-biomass,117.3,7.272
3961,ETAD,2024-11-23,11.0,high-biomass,121.9,7.1928
3962,ETAD,,,other/unassigned,6.2,0.0
3963,ETAD,2024-10-09,10.0,high-biomass,76.2,2.1312
3964,ETAD,2024-12-11,12.0,high-biomass,174.9,7.1928
3965,ETAD,2024-12-20,12.0,high-biomass,174.6,7.1064
3966,ETAD,2024-12-29,12.0,high-biomass,139.3,6.713904
3967,ETAD,2025-01-07,1.0,high-biomass,111.6,7.1928
3968,ETAD,2025-01-16,1.0,high-biomass,152.0,7.1928
3969,ETAD,2025-01-25,1.0,high-biomass,159.5,7.1064
3970,ETAD,,,other/unassigned,0.4,0.0
3971,ETAD,2024-12-11,12.0,high-biomass,111.4,2.1312
3972,ETAD,2025-02-05,2.0,high-biomass,134.0,6.9408
3973,ETAD,2025-02-14,2.0,high-biomass,129.8,7.0272
3974,ETAD,2025-02-23,2.0,high-biomass,125.4,6.8616
3975,ETAD,2025-03-04,3.0,other/unassigned,159.4,6.8616
3976,ETAD,2025-03-13,3.0,other/unassigned,142.6,6.8616
3977,ETAD,2025-03-22,3.0,other/unassigned,122.4,7.0272
3978,ETAD,,,other/unassigned,2.6,0.0
3979,ETAD,2025-02-05,2.0,high-biomass,118.2,2.1312
3980,ETAD,2025-04-09,4.0,other/unassigned,180.7,7.272
3981,ETAD,2025-04-18,4.0,other/unassigned,121.8,7.1136
3982,ETAD,2025-04-27,4.0,other/unassigned,151.0,7.272
3983,ETAD,2025-05-06,5.0,other/unassigned,193.2,7.25382
3984,ETAD,2025-05-15,5.0,other/unassigned,225.6,7.26594
3985,ETAD,2025-05-24,5.0,other/unassigned,265.8,7.25685
3986,ETAD,,,other/unassigned,4.3,0.0
3987,ETAD,2025-04-09,4.0,other/unassigned,124.4,2.120544
3988,ETAD,2025-06-18,6.0,diesel,298.8,7.097517
3989,ETAD,2025-06-27,6.0,diesel,273.0,7.088634
3990,ETAD,2025-07-06,7.0,diesel,216.2,7.1928
3991,ETAD,2025-07-15,7.0,diesel,257.2,7.1064
3992,ETAD,2025-07-24,7.0,diesel,177.2,7.094556
3992,ETAD,2025-07-24,7.0,diesel,177.2,7.094556
3993,ETAD,2025-08-02,8.0,diesel,226.9,7.097517
3994,ETAD,,,other/unassigned,5.8,0.0
3995,ETAD,2025-06-18,6.0,diesel,137.9,2.268
4148,ETAD,2025-11-21,11.0,high-biomass,153.2,7.272
4149,ETAD,2025-11-24,11.0,high-biomass,133.4,7.272
4150,ETAD,2025-11-27,11.0,high-biomass,134.9,7.3584
4151,ETAD,2025-11-30,11.0,high-biomass,143.4,7.272
4152,ETAD,2025-12-03,12.0,high-biomass,144.5,7.272
4153,ETAD,2025-12-06,12.0,high-biomass,97.4,7.3584
4154,ETAD,,,other/unassigned,3.7,0.0
4155,ETAD,2025-12-09,12.0,high-biomass,145.5,7.272
4156,ETAD,2025-12-17,12.0,high-biomass,140.9,7.272
4157,ETAD,2025-12-20,12.0,high-biomass,190.6,7.1928
4158,ETAD,2025-12-23,12.0,high-biomass,167.8,7.1928
4159,ETAD,2025-12-26,12.0,high-biomass,234.9,7.1928
4160,ETAD,2025-12-29,12.0,high-biomass,161.0,7.1928
4161,ETAD,2026-01-01,1.0,high-biomass,203.8,7.1712
4162,ETAD,,,other/unassigned,4.8,0.0
4163,ETAD,2026-01-04,1.0,high-biomass,141.0,7.1928
4460,ETAD,2026-01-14,1.0,high-biomass,199.3,7.3584
4461,ETAD,2026-01-17,1.0,high-biomass,116.7,7.3584
4462,ETAD,2026-01-20,1.0,high-biomass,117.3,7.3584
4460,ETAD,2026-01-14,1.0,high-biomass,199.3,7.3584
4463,ETAD,2026-01-23,1.0,high-biomass,158.4,7.3584
4464,ETAD,2026-01-26,1.0,high-biomass,161.2,7.3584
4465,ETAD,2026-01-29,1.0,high-biomass,152.9,7.3584
4466,ETAD,,,other/unassigned,1.2,0.0
4467,ETAD,2026-02-01,2.0,high-biomass,164.5,7.3584
4468,ETAD,2026-02-11,2.0,high-biomass,136.5,7.272
4469,ETAD,2026-02-14,2.0,high-biomass,136.8,7.272
4470,ETAD,2026-02-17,2.0,high-biomass,143.9,7.272
4471,ETAD,2026-02-20,2.0,high-biomass,208.3,7.272
4472,ETAD,2026-02-23,2.0,high-biomass,160.4,7.272
4473,ETAD,2026-02-26,2.0,high-biomass,188.9,7.272
4474,ETAD,,,other/unassigned,2.1,0.0
4475,ETAD,2026-03-01,3.0,other/unassigned,109.9,7.3584
